id,thoi_gian_gui,ten_thiet_bi,nhiet_do,do_am,led1,led2,led3
6ab075ff66438d074f5c543d,2026-09-21T07:10:39.547000+07:00,pi4-tdbao,26.4,68.0,0,0,1
6ab075ff66438d074f5c543e,2026-09-21T07:10:39.620000+07:00,pi4-tdbao,29.8,72.0,0,1,0
6ab075ff66438d074f5c543f,2026-09-21T07:10:39.692000+07:00,pi4-tdbao,33.2,59.0,1,0,0
6ab076f366438d074f5c5440,2026-09-21T07:14:43.496000+07:00,pi4-tdbao,26.0,73.0,0,0,1
6ab076f866438d074f5c5441,2026-09-21T07:14:48.499000+07:00,pi4-tdbao,26.0,73.0,0,0,1
6ab076fd66438d074f5c5442,2026-09-21T07:14:53.935000+07:00,pi4-tdbao,26.0,73.0,0,0,1
6ab0770266438d074f5c5443,2026-09-21T07:14:58.500000+07:00,pi4-tdbao,26.0,73.0,0,0,1
6ab0770766438d074f5c5444,2026-09-21T07:15:03.616000+07:00,pi4-tdbao,26.0,73.0,0,0,1
6ab0770c66438d074f5c5445,2026-09-21T07:15:08.726000+07:00,pi4-tdbao,26.0,73.0,0,0,1
6ab0771166438d074f5c5446,2026-09-21T07:15:13.549000+07:00,pi4-tdbao,26.0,73.0,0,0,1
6ab0783c3bc54f9f2f9a236e,2026-09-21T07:20:12.384000+07:00,pi4-tdbao,25.0,74.0,0,0,1
6ab078413bc54f9f2f9a236f,2026-09-21T07:20:17.580000+07:00,pi4-tdbao,25.0,74.0,0,0,1
6ab078463bc54f9f2f9a2370,2026-09-21T07:20:22.384000+07:00,pi4-tdbao,25.0,74.0,0,0,1
6ab0784b3bc54f9f2f9a2371,2026-09-21T07:20:27.406000+07:00,pi4-tdbao,25.0,74.0,0,0,1
6ab078503bc54f9f2f9a2372,2026-09-21T07:20:32.625000+07:00,pi4-tdbao,25.0,74.0,0,0,1
6ab078553bc54f9f2f9a2373,2026-09-21T07:20:37.433000+07:00,pi4-tdbao,25.0,74.0,0,0,1
6ab0785a3bc54f9f2f9a2374,2026-09-21T07:20:42.452000+07:00,pi4-tdbao,25.0,74.0,0,0,1
6ab0785f3bc54f9f2f9a2375,2026-09-21T07:20:47.480000+07:00,pi4-tdbao,25.0,74.0,0,0,1
6ab078643bc54f9f2f9a2376,2026-09-21T07:20:52.388000+07:00,pi4-tdbao,25.0,74.0,0,0,1
6ab078693bc54f9f2f9a2377,2026-09-21T07:20:57.613000+07:00,pi4-tdbao,25.0,74.0,0,0,1
6ab0786e3bc54f9f2f9a2378,2026-09-21T07:21:02.641000+07:00,pi4-tdbao,25.0,74.0,0,0,1
6ab078733bc54f9f2f9a2379,2026-09-21T07:21:07.659000+07:00,pi4-tdbao,25.0,74.0,0,0,1
6ab078783bc54f9f2f9a237a,2026-09-21T07:21:12.384000+07:00,pi4-tdbao,25.0,74.0,0,0,1
6ab0787d3bc54f9f2f9a237b,2026-09-21T07:21:17.606000+07:00,pi4-tdbao,25.0,74.0,0,0,1
6ab07b7b3bc54f9f2f9a237c,2026-09-21T07:34:03.329000+07:00,pi4-tdbao,26.0,73.0,1,0,0
6ab07b7c3bc54f9f2f9a237d,2026-09-21T07:34:04.365000+07:00,pi4-tdbao,26.0,73.0,0,1,0
6ab07b7d3bc54f9f2f9a237e,2026-09-21T07:34:05.306000+07:00,pi4-tdbao,26.0,73.0,0,0,1
6ab07b7e3bc54f9f2f9a237f,2026-09-21T07:34:06.530000+07:00,pi4-tdbao,26.0,73.0,1,0,0
6ab07b7f3bc54f9f2f9a2380,2026-09-21T07:34:07.343000+07:00,pi4-tdbao,26.0,73.0,0,1,0
6ab07b803bc54f9f2f9a2381,2026-09-21T07:34:08.366000+07:00,pi4-tdbao,26.0,73.0,0,0,1
6ab07b813bc54f9f2f9a2382,2026-09-21T07:34:09.384000+07:00,pi4-tdbao,26.0,73.0,1,0,0
6ab07b823bc54f9f2f9a2383,2026-09-21T07:34:10.313000+07:00,pi4-tdbao,26.0,73.0,0,1,0
